dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1704117600,5,29479.98,572.2,126.12,0,196.46,749.7,937.86,137.81
1704121200,5,29052.73,565.05,120.64,0,175.48,836.76,1049.13,131.73
1704124800,5,29052.73,565.05,115.16,0,152.59,888.62,1112.17,114.5
1704128400,5,27343.75,536.44,109.67,0,133.51,847.51,1056.17,97.27
1704132000,5,23498.54,454.19,97.33,0,110.63,752.74,940.92,85.12
1704135600,5,19439.7,379.09,82.94,0,86.78,663.68,818.33,72.96
1704139200,5,15808.11,307.56,66.49,0,60.08,564.61,679.2,48.64
1704142800,5,11962.89,236.03,55.52,0,41.96,448.22,520.89,29.89
1704146400,5,8544.92,173.45,50.72,0,36.24,334.01,381.52,21.03
1704150000,5,6942.75,144.84,47.3,0,40.05,276.18,319.5,19.76
1704153600,5,7904.05,166.3,47.98,0.08,58.17,281.86,339.62,27.36
1704157200,5,10147.09,207.42,60.32,1.3,82.02,287.8,356.73,31.41
1704160800,5,11749.27,209.21,108.3,5.28,95.37,303.81,379.26,33.44
1704164400,5,12710.57,118.02,249.51,36.48,103.95,378.54,463.31,37.49
1704168000,5,5287.17,8.27,165.88,40.41,62.94,166.35,205.01,17.23
1704171600,5,4325.87,1.96,153.54,11.62,68.66,129.7,163.72,15.07
1704175200,5,4005.43,11.06,159.03,5.19,88.69,132.42,166,12.79
1704178800,5,3417.97,16.32,156.28,0.28,87.74,123.29,151.54,9.25
1704182400,5,2990.72,15.42,145.32,0.14,69.62,111.74,134.67,7.16
1704186000,5,2723.69,10.39,130.24,0.5,51.02,101.16,120.66,6.46
1704189600,5,3070.83,12.85,122.01,0.29,44.35,96.86,114.81,7.47
1704193200,5,3845.21,24.36,119.27,0.02,45.3,103.92,123.29,9.25
1704196800,5,4165.65,30.4,111.04,0,45.78,113.55,136.18,10.26
1704200400,5,4806.52,40.68,102.82,0,48.16,132.37,163.34,13.17
1704204000,5,5661.01,52.75,95.96,0,47.21,161.3,202.93,16.47
1704207600,5,6248.47,61.69,89.11,0,46.73,190.67,242.03,20.27
1704211200,5,6675.72,69.74,83.63,0,47.21,203.47,257.59,21.03
1704214800,5,6462.1,68.84,79.51,0,43.39,189.73,236.84,16.21
1704218400,5,5393.98,52.3,72.66,0,36.72,164.47,205.05,14.19
1704222000,5,4379.27,36.66,65.12,0,32.42,145.47,178.6,13.05
1704225600,5,3337.86,23.92,59.63,0,29.8,122.65,148.31,10.39
1704229200,5,2376.56,13.75,55.52,0.03,28.37,95.03,114.17,8.11
1704232800,5,1869.2,8.16,51.41,0.2,26.46,76.44,92.78,7.35
1704236400,5,2109.53,11.85,50.04,0.08,26.7,78.78,98.37,8.61
1704240000,5,3845.21,42.92,53.47,0.05,37.19,112.34,144.03,14.82
1704243600,5,7690.43,114.44,60.32,0.21,57.22,170.54,218.52,21.79
1704247200,5,11535.64,189.54,66.49,0.22,74.39,231.63,295.91,29.13
1704250800,5,13458.25,227.09,69.23,0.28,84.88,279.69,358.86,37.49
1704254400,5,14099.12,239.61,75.4,0.55,87.74,299.91,383.74,37.49
1704258000,5,12283.33,205.64,87.05,1.32,77.25,259.86,329.72,26.09
1704261600,5,9292.6,139.47,106.93,3.62,65.8,194.31,244.16,19.51
1704265200,5,4486.08,45.6,97.33,11.8,38.62,101.51,126.7,10.51
1704268800,5,3738.4,26.82,95.96,17.34,32.42,91.49,115.27,9.63
1704272400,5,3578.19,19,101.45,21.28,32.9,93.36,117.14,9.75
1704276000,5,4806.52,29.06,123.38,24.68,41.96,119.62,149.45,11.91
1704279600,5,6675.72,47.39,148.06,2.84,50.07,154.42,196.35,15.33
1704283200,5,6729.13,51.86,128.87,0.01,45.3,171.85,224.49,17.48
1704286800,5,6034.85,43.81,104.19,0,38.15,172.42,231.11,18.75
1704290400,5,4646.3,29.06,76.77,0,29.33,143.87,198.83,16.21
1704294000,5,3631.59,20.12,57.58,0.01,22.41,115.37,163.35,13.81
1704297600,5,4165.65,33.08,52.78,0,21.93,122.99,173.77,12.79
1704301200,5,5126.95,52.75,51.41,0,22.65,133.59,186.7,10.89
1704304800,5,5287.17,54.54,49.35,0,21.46,141.77,197.21,12.79
1704308400,5,4753.11,42.02,46.61,0,20.03,141.82,193.07,13.93
1704312000,5,3738.4,23.47,42.84,0.01,16.45,122.83,161.04,10.64
1704315600,5,2830.51,9.83,38.04,0.22,13.83,97.03,123.83,8.23
1704319200,4,2243.04,3.74,35.3,1.24,13.47,73.75,93.34,7.41
1704322800,4,2296.45,5.14,37.01,0.94,15.5,69.86,91.09,8.36
1704326400,5,3364.56,23.02,43.18,0.52,23.37,87.84,118.62,13.55
1704330000,5,5447.39,60.8,54.84,1.25,36.72,116.27,157.28,17.99
1704333600,5,6248.47,69.74,66.49,2.66,41.01,123.3,167.1,17.73
1704337200,5,5126.95,42.47,72.66,8.58,35.76,107.32,148.33,15.71
1704340800,5,3578.19,14.75,69.23,33.62,28.13,84.05,116.23,12.79
1704344400,5,3231.05,8.94,70.6,48.64,29.09,78.78,106.33,12.41
1704348000,5,3150.94,7.49,74.71,55.79,35.29,76.83,102.34,12.16
1704351600,4,2376.56,1.12,68.55,32.54,35.29,52.4,69.79,8.49
1704355200,3,2296.45,3.19,71.97,9.75,39.1,47.62,63.65,7.66
1704358800,3,2563.48,11.96,71.97,1.65,43.39,49.95,66.24,7.47
1704362400,5,5126.95,67.06,72.66,0.16,57.22,77.78,101.75,10.89
1704366000,5,10040.28,168.09,76.77,0.01,76.29,143.79,186.83,18.49
1704369600,5,13351.44,228.88,80.88,0,84.88,220.54,290.54,30.65
1704373200,5,14739.99,253.92,82.94,0,87.74,294.68,387.91,43.06
1704376800,5,14739.99,253.92,79.51,0,81.06,335.44,440.75,46.1
1704380400,5,14099.12,236.03,74.03,0,73.43,351.68,463.49,45.09
1704384000,5,13458.25,227.09,67.86,0,65.8,352.15,464.88,42.05
1704387600,5,12924.19,223.52,61.01,0,57.7,329.25,421.48,34.45
1704391200,5,11642.46,205.64,54.15,0,51.02,305.39,385.51,33.44
1704394800,5,9613.04,164.51,45.24,0,41.01,273.91,348.44,32.42
1704398400,5,7263.18,118.02,35.64,0,27.89,229.5,295.64,23.81
1704402000,5,5607.6,84.04,30.16,0,20.74,193.67,251.89,17.48
1704405600,5,5020.14,67.95,29.82,0,18.84,179.8,232.9,14.44
1704409200,5,5607.6,73.31,31.53,0,22.89,194.42,253.57,16.72
1704412800,5,9506.23,144.84,38.73,0.09,44.82,280.25,367.81,32.17
1704416400,5,18585.21,318.29,61.69,0.51,82.97,443.91,576.17,43.57
1704420000,5,25421.14,411.27,128.87,2.66,100.14,571.39,731.59,44.58
1704423600,5,23498.54,212.79,329.02,35.76,93.46,613.98,764.87,41.54
1704427200,5,4966.74,15.65,126.12,148.77,66.76,181.54,220.74,9.37
1704430800,5,2483.37,5.59,63.75,208.85,61.04,119.27,143.43,6.78
1704434400,5,1735.69,3.44,45.24,234.6,56.74,93.86,112.31,5.7
1704438000,5,1415.25,2.54,38.39,214.58,48.16,69.69,83.9,4.88
1704441600,4,1388.55,2.01,43.87,170.23,44.82,53.87,66.69,5.19
1704445200,3,1548.77,1.06,57.58,123.02,46.73,46.88,59.87,5.83
1704448800,4,4058.84,6.15,131.61,32.9,65.8,74.09,95.73,13.3
1704452400,5,8972.17,67.06,189.19,0.11,92.51,156.48,195.96,21.79
1704456000,5,11642.46,97.45,202.89,0,98.23,255.44,312.91,21.53
1704459600,5,12069.7,79.57,216.6,0,96.32,350.46,419.47,21.53
1704463200,5,12176.51,59.9,230.31,0,90.6,432.5,507.06,21.53
1704466800,5,12390.14,45.15,235.8,0,83.92,493.03,569.46,22.29
1704470400,5,13351.44,53.2,238.54,0,76.29,541.7,622.79,23.81
1704474000,5,14526.37,64.37,233.05,0,65.8,582.89,665.84,20.01
1704477600,5,13885.5,41.13,208.38,0,51.98,597.38,677.53,16.72
1704481200,5,13031.01,20.34,200.15,0,52.45,621.73,708.38,24.32
1704484800,5,13137.82,15.42,211.12,0,60.56,664.99,763.75,37.49
1704488400,5,13458.25,15.42,219.35,0,65.8,701.9,808.1,48.64
1704492000,5,13885.5,19.22,227.57,0,71.53,736.34,848.14,59.28
1704495600,5,14312.74,30.85,222.09,0,75.34,767.07,885.38,67.89
1704499200,5,15594.48,68.84,205.64,1.05,80.11,800.05,928.6,71.94
1704502800,5,15808.11,92.09,197.41,1.88,69.62,751.53,865.18,32.17
1704506400,5,17517.09,84.94,252.25,15.02,68.66,764.16,876.87,26.09
1704510000,5,17089.84,23.02,285.15,161.65,63.9,816.2,932.7,24.57
1704513600,5,2990.72,2.07,41.47,211.72,29.8,182.58,208.3,4.94
1704517200,5,1708.98,1.08,25.02,203.13,30.04,123.68,139.43,2.98
1704520800,5,1495.36,0.85,27.42,205.99,34.81,116.48,129.52,1.87
1704524400,5,1361.85,0.66,29.82,188.83,38.62,102.22,113.09,1.76
1704528000,5,1335.14,0.5,33.59,161.65,39.58,88.03,98.07,2.56
1704531600,4,1441.96,0.27,39.41,125.89,37.67,74.73,84.58,3.58
1704535200,5,5607.6,28.61,119.27,20.03,50.07,117.31,141.2,11.27
1704538800,5,13458.25,166.3,138.46,0.04,71.53,224.5,275.82,21.03
1704542400,5,18798.83,271.8,135.72,0,87.74,343.91,426.87,40.02
1704546000,5,21789.55,314.71,153.54,0,114.44,470.18,581.99,76
1704549600,5,22430.42,314.71,165.88,0,125.89,562.56,692.99,100.31
1704553200,5,22003.17,296.83,164.51,0,127.79,614.07,757.52,114.5
1704556800,5,20294.19,268.22,148.06,0,117.3,599.16,740.74,110.45
1704560400,5,17730.71,232.46,122.01,0,88.69,536.35,674.2,82.08
1704564000,5,14526.37,184.18,101.45,0,58.65,472.75,601.29,55.73
1704567600,5,10467.53,121.59,76.09,0,34.33,367.59,478.44,37.49
1704571200,5,6942.75,76,52.78,0,22.17,260.9,350.33,29.89
1704574800,5,4913.33,53.2,36.67,0,17.4,195.32,266.12,26.09
1704578400,5,4219.06,47.83,28.45,0,16.93,168.13,230.55,23.31
1704582000,5,4058.84,51.41,23.31,0,17.88,149.07,207.31,19.76
1704585600,5,5233.76,79.57,22.96,0.06,27.42,151.7,220.65,23.05
1704589200,5,4806.52,80.47,26.05,0.18,32.9,106.52,160.58,20.52
1704592800,5,5393.98,94.77,28.45,0.09,39.58,102.25,156.77,21.79
1704596400,5,4859.92,85.83,27.42,0.12,39.58,86.81,138.99,23.31
1704600000,3,2216.34,30.4,28.45,0.69,24.8,36.79,61.74,12.54
1704603600,3,2109.53,29.06,31.53,1.13,28.85,34.32,55.32,11.4
1704607200,3,2349.85,30.4,44.55,1.94,39.1,41.27,62.32,10.89
1704610800,4,2964.02,31.29,61.69,1.86,43.87,55.97,78.95,11.15
1704614400,5,4379.27,54.09,61.69,0.7,46.73,76.63,105.21,12.92
1704618000,5,5981.45,92.98,55.52,0.17,50.54,96.89,130.08,14.31
1704621600,5,8224.49,146.63,54.15,0.05,54.84,120.41,156.34,15.58
1704625200,5,10894.78,205.64,55.52,0.01,60.56,156.2,199.09,17.23
1704628800,5,12069.7,239.61,54.84,0,61.99,197.24,253.14,20.27
1704632400,5,13458.25,271.8,54.84,0,61.99,268.26,345.58,26.09
1704636000,5,14526.37,293.25,53.47,0,60.56,338.82,438.48,32.42
1704639600,5,14526.37,282.53,50.04,0,57.22,375.95,490.52,38.5
1704643200,5,13458.25,253.92,45.93,0,57.22,358.28,477.5,46.1
1704646800,5,12390.14,232.46,44.55,0,60.08,322.06,435.69,49.14
1704650400,5,12176.51,232.46,45.93,0,66.76,327.5,435.54,58.77
1704654000,5,11322.02,216.36,45.24,0,68.66,334.13,433.79,66.88
1704657600,5,9933.47,187.75,38.73,0,60.56,318.81,414.75,64.85
1704661200,5,8758.54,164.51,30.5,0,46.73,305.14,394.56,52.18
1704664800,5,8438.11,160.93,25.7,0,35.76,311.85,394.74,32.93
1704668400,5,8972.17,171.66,25.02,0,35.76,331.79,413.76,29.89
1704672000,5,11535.64,221.73,30.5,0.03,52.45,386.77,482.71,40.53
1704675600,5,16021.73,311.14,45.24,0.14,77.25,456.48,562.67,44.58
1704679200,5,20721.44,407.7,68.55,0.4,96.32,552.27,673.36,46.61
1704682800,5,22644.04,422,112.41,1.5,102.04,599.65,728.19,47.62
1704686400,5,12390.14,187.75,156.28,7.06,79.15,342.54,418.93,27.61
1704690000,5,7263.18,64.37,149.43,18.42,56.74,197.57,248.36,18.24
1704693600,5,4966.74,19.22,132.98,50.78,50.07,144.28,182.51,13.68
1704697200,5,3284.45,1.93,102.82,38.62,45.3,89.4,116.22,10.89
1704700800,4,2590.18,4.75,76.77,20.56,39.58,62.36,84.08,10.26
1704704400,3,2349.85,10.84,62.38,9.83,34.81,49.28,67.96,9.75
1704708000,4,4005.43,45.6,61.69,1.88,40.53,63.63,86.73,12.41
1704711600,5,7690.43,119.81,63.75,0.09,55.31,112.64,150.86,17.23
1704715200,5,10681.15,180.6,69.23,0,65.8,181.74,240.9,23.81
1704718800,5,14099.12,236.03,86.37,0,77.25,294.18,380.81,34.96
1704722400,5,17303.47,278.95,101.45,0,79.15,418.72,532.36,39.52
1704726000,5,18585.21,293.25,104.19,0,74.39,510.85,641.24,40.53
1704729600,5,19866.94,318.29,97.33,0,67.71,586.13,718.39,38.5
1704733200,5,20080.57,332.59,85.68,0,57.22,605.01,729.81,30.15
1704736800,5,18157.96,307.56,72.66,0,47.68,569.97,685.46,28.12
1704740400,5,16021.73,271.8,62.38,0,40.05,507.06,613.24,31.16
1704744000,5,14312.74,246.76,55.52,0,34.33,438.08,533.08,33.44
1704747600,5,12817.38,218.15,50.04,0,30.28,378.66,462.48,35.46
1704751200,5,11642.46,196.7,45.93,0,30.99,367.03,448.06,35.97
1704754800,5,11215.21,189.54,43.87,0,33.86,382.75,471.23,32.93
1704758400,5,13137.82,221.73,50.04,0.13,48.64,430.72,545.28,36.48
1704848400,5,17944.34,332.59,52.09,0.12,78.2,492.21,648.68,42.56
1704852000,5,22644.04,425.58,69.23,0.17,93.46,561.75,733.11,45.6
1704855600,5,24353.03,454.19,85,0.18,100.14,589.93,772.47,57.25
1704859200,5,8438.11,135.9,79.51,0.47,74.39,213.97,283.82,23.56
1704862800,5,6408.69,106.39,76.09,0.66,70.57,163.27,221.96,20.52
1704866400,5,4913.33,82.25,71.97,1.77,65.8,124.69,171.75,16.47
1704870000,5,3685,54.54,66.49,4.38,51.02,85.13,118.24,12.54
1704873600,4,3738.4,53.64,65.8,4.02,47.68,74.82,104.21,13.43
1704877200,5,4592.9,68.84,69.23,2.77,48.16,84.49,115.26,15.45
1704880800,5,6729.13,113.55,74.71,2.82,59.13,112.49,153.03,18.24
1704884400,5,9185.79,168.09,69.23,0.29,66.76,143.7,201,22.29
1704888000,5,9292.6,166.3,58.95,0,60.56,153.6,225.32,27.87
1704891600,5,8651.73,148.42,51.41,0,55.31,167.39,251.22,34.45
1704895200,5,8010.86,132.32,43.53,0,49.11,176.89,270.96,34.45
1704898800,5,7263.18,119.81,35.99,0,43.87,179.4,285.58,33.94
1704902400,5,6248.47,105.5,30.16,0,37.19,158.39,265.52,29.13
1704906000,5,5073.55,88.51,26.05,0,28.85,120.23,211.53,20.52
1704909600,5,4005.43,69.74,22.62,0,22.17,98.01,173.5,16.21
1704913200,4,2803.8,46.49,19.02,0,15.74,73.77,128.79,12.67
1704916800,4,1895.9,28.61,15.77,0,12.04,52.1,89.9,10.13
1704920400,3,1388.55,19.22,13.71,0,10.97,39.24,68.42,8.74
1704924000,3,1308.44,17.88,13.37,0,12.16,35.64,62.71,8.74
1704927600,3,1548.77,23.02,13.88,0,15.02,39.05,68.44,10.26
1704931200,4,2563.48,42.02,16.11,0.14,23.13,54.52,92.28,15.71
1704934800,4,3952.03,72.42,21.08,0.61,34.33,70.71,113.12,20.01
1704938400,5,4646.3,86.72,28.45,1.13,41.48,80.66,125.4,22.8
1704942000,5,4486.08,79.57,40.44,2.32,44.82,83.18,129.31,24.83
1704945600,4,2857.21,38.89,41.13,0.63,31.95,50.35,79.25,15.58
1704949200,3,2323.15,26.82,36.33,0.96,24.32,39.17,61.08,12.41
1704952800,3,2082.82,19.89,36.33,2.15,20.27,33.53,50.54,9.88
1704956400,3,1895.9,11.51,38.73,4.65,16.93,28.21,41.84,8.11
1704960000,2,1789.09,6.76,40.44,6.44,16.21,24.22,36.1,7.41
1704963600,2,1815.8,9.61,38.04,3.4,16.93,21.68,32.98,7.16
1704967200,3,3231.05,42.02,38.39,1.65,26.23,36.2,53.9,10.26
1704970800,4,5180.36,84.04,39.41,0.13,35.76,60.75,88.7,13.93
1704974400,5,5767.82,95.67,36.33,0,36.72,80.34,118.06,17.23
1704978000,5,5928.04,98.35,33.93,0,37.19,103.1,151.07,20.77
1704981600,5,5447.39,88.51,30.5,0,34.33,110.56,165.99,21.53
1704985200,5,4806.52,77.78,27.42,0,30.99,109.41,169.02,21.79
1704988800,5,4325.87,69.74,24.68,0,27.66,98.19,154.54,19
1704992400,5,3738.4,62.58,22.28,0,22.41,77.78,121.56,13.17
1704996000,4,3070.83,51.86,19.54,0,18.12,66.31,99.85,10.77
1704999600,4,2216.34,35.76,16.28,0,13.71,53.17,81.36,9.25
1705003200,3,1615.52,24.14,13.88,0,11.44,42.04,67.2,8.36
1705006800,3,1335.14,18.55,12.68,0.01,10.97,36.01,59.78,7.98
1705010400,3,1335.14,19,12.68,0,12.16,35.72,59.96,8.11
1705014000,3,1562.12,23.47,13.37,0,14.54,38.05,64.4,9.12
1705017600,4,2777.1,45.6,16.45,0.14,22.89,56.69,93.52,14.19
1705021200,5,4913.33,87.62,22.62,0.49,36.24,83.14,133.47,19
1705024800,5,5607.6,98.35,29.13,0.96,41.01,88.27,145.12,21.79
1705028400,4,4219.06,65.27,34.62,2.39,35.29,68.27,119.07,22.29
1705032000,2,1335.14,6.59,26.05,16.27,12.76,17.01,31.94,8.04
1705035600,2,1094.82,1.77,23.31,26.46,10.61,11.76,21.8,6.4
1705039200,2,1188.28,0.82,28.1,27.54,12.4,12.64,23.25,6.97
1705042800,2,1255.04,0.45,31.19,30.04,13.35,13.78,24.28,7.47
1705046400,2,1268.39,0.39,32.56,29.68,13.11,13.92,23.03,7.47
1705050000,2,1321.79,0.66,34.62,21.46,13.35,13.25,21.54,7.28
1705053600,2,2510.07,19,46.61,2.46,22.65,23.98,37.51,11.27
1705057200,3,3845.21,53.2,40.78,0.1,30.52,39.39,62.23,16.47
1705060800,3,3791.81,54.99,34.96,0,28.37,48.37,79.12,18.75
1705064400,4,3631.59,50.96,31.53,0,27.42,59.29,100.76,21.28
1705068000,4,3364.56,45.15,29.13,0,25.75,65.68,116.95,21.28
1705071600,4,3070.83,38.89,26.73,0,23.13,67.07,123.46,19.76
1705075200,4,3044.13,38.89,25.36,0,21.46,64.76,120.7,16.72
1705078800,4,2883.91,38.44,23.99,0,18.36,54.62,104.51,11.4
1705082400,3,2216.34,27.72,21.08,0,13.23,43.52,86.43,8.04
1705086000,3,1575.47,15.87,18.16,0.02,9.3,35.48,71.86,6.9
1705089600,3,1255.04,9.83,16.28,0.09,7.87,31.89,63.62,6.78
1705093200,3,1174.93,8.05,15.59,0.11,7.87,32.35,62.68,7.09
1705096800,3,1308.44,10.51,15.94,0.04,9.06,36.51,68.7,7.79
1705100400,3,1642.23,17.21,17.31,0.01,11.56,42.86,78.32,9.75
1705104000,4,2910.61,41.13,20.73,0.11,20.03,64.07,109.31,16.09
1705107600,5,4966.74,83.15,27.08,0.47,33.86,89.37,143.94,22.29
1705111200,5,6195.07,107.29,34.27,0.95,42.44,104.26,167.69,28.12
1705114800,5,5714.42,92.09,42.16,1.83,42.92,100.43,166.69,31.92
1705118400,3,1735.69,10.39,38.39,3.35,18.84,25.62,46.83,11.65
1705122000,2,1094.82,0.51,29.13,12.16,12.16,13.19,25.4,7.54
1705125600,2,988.01,0.25,26.05,15.74,11.32,10.9,21.23,6.84
1705129200,2,1041.41,0.88,26.73,13.77,12.64,10.9,19.87,6.97
1705132800,2,1161.58,2.21,28.45,12.7,12.16,11.76,19.85,7.09
1705136400,2,1281.74,3.07,31.19,12.34,12.4,12.55,20.74,6.84
1705140000,2,1842.5,11.4,38.39,3.8,16.69,18.33,30.13,8.36
1705143600,3,2563.48,28.61,36.33,0.24,20.74,27.77,45.53,10.77
1705147200,3,2670.29,32.19,32.22,0,20.27,35.81,59.18,12.41
1705150800,4,3124.24,39.79,30.85,0,22.41,53.3,89.28,15.71
1705154400,4,3417.97,45.15,28.1,0,22.89,69.33,118.85,17.23
1705158000,4,3231.05,42.02,24.68,0,20.98,72.54,127.2,16.97
1705161600,4,2937.32,38.89,22.28,0,18.6,65.19,116.61,14.44
1705165200,4,2563.48,34.87,20.56,0,15.5,51.61,95.59,10.01
1705168800,3,2056.12,27.27,18.85,0,12.64,43.25,82.6,8.11
1705172400,3,1842.5,22.8,16.45,0,10.61,45.36,85.66,7.73
1705176000,4,1789.09,21.23,14.22,0,9.89,52.34,95.45,8.87
1705179600,4,1842.5,21.01,12.85,0,10.73,59.89,105.81,11.65
1705183200,4,2109.53,26.15,12.51,0,13.23,71.21,121.8,14.82
1705186800,5,2750.4,39.34,13.37,0,16.45,85.12,142.73,16.21
1705190400,5,4806.52,78.68,17.82,0.03,28.37,124.12,199.92,24.07
1705194000,5,6355.29,112.65,23.65,0.17,38.62,132.43,208.32,25.59
1705197600,5,8224.49,150.2,31.87,0.49,50.07,155.46,236.99,28.88
1705201200,5,8331.3,148.42,43.87,1.13,53.88,160.22,243.65,33.94
1705204800,3,2109.53,18.78,41.47,2.48,22.41,35.73,58.97,10.77
1705208400,2,1361.85,4.41,38.39,11,19.07,19.84,35.03,7.66
1705212000,2,1281.74,4.25,38.73,18.24,22.17,18.52,32.59,7.09
1705215600,3,2883.91,20.56,57.58,8.49,33.86,40.89,64.51,12.67
1705219200,5,5981.45,69.74,67.86,1.77,46.25,86.88,126.51,18.49
1705222800,5,9506.23,139.47,68.55,0.57,59.6,139.3,191.5,22.55
1705226400,5,15380.86,261.07,85.68,0.24,103,219.43,285.52,42.05
1705230000,5,22216.8,400.54,111.04,0.05,156.4,321.76,407.3,68.9
1705233600,5,26702.88,486.37,131.61,0,190.73,435.7,549.08,100.31
1705237200,5,29907.23,536.44,149.43,0,221.25,577.75,729.26,141.86
1705240800,5,32043.46,557.9,167.25,0,242.23,709.31,892.45,180.36
1705244400,5,31616.21,543.59,178.22,0,240.33,779.65,983.22,198.6
1705248000,5,29479.98,507.83,180.96,0,221.25,770.83,981.8,196.58
1705251600,5,27771,472.07,178.22,0,204.09,728.33,926.22,184.42
1705255200,5,24993.9,418.42,171.36,0,185.01,669.2,840.99,170.23
1705258800,5,18798.83,307.56,145.32,0,143.05,531.12,658.19,137.81
1705262400,5,13031.01,209.21,113.79,0,101.09,399.19,508.57,106.39
1705266000,5,9719.85,151.99,86.37,0,68.66,326.83,424.11,80.05
1705269600,5,8224.49,130.53,63.06,0,39.58,297.95,388.7,39.01
1705273200,5,7583.62,121.59,48.67,0,30.52,271.26,355.49,26.09
1705276800,5,8117.68,135.9,42.5,0.03,38.62,252.13,335.45,29.64
1705280400,5,6729.13,118.02,39.07,0.15,44.82,165.28,222.53,25.08
1705284000,5,6462.1,119.81,36.33,0.28,50.07,137.16,189.59,23.81
1705287600,5,4966.74,93.88,35.3,0.7,48.64,107.03,153.29,23.56
1705291200,3,1762.39,21.68,30.85,1.04,23.37,36.47,53.74,9.37
1705294800,2,1214.98,9.95,28.79,2.48,19.31,23.28,34.43,6.9
1705298400,2,1188.28,9.72,31.19,3.93,22.17,22.4,32.59,6.4
1705302000,2,1148.22,10.17,29.13,12.7,22.41,21.14,30.74,6.08
1705305600,2,1148.22,8.27,27.08,30.76,20.27,20.16,29.67,6.21
1705309200,2,1201.63,6.59,27.08,47.92,18.6,20.18,29.58,6.33
1705312800,3,2670.29,16.76,56.89,30.76,27.66,36.81,52.88,11.02
1705316400,5,5767.82,60.8,85.68,3.17,44.35,76.92,109.78,20.01
1705320000,5,7904.05,105.5,80.88,0,54.36,124.37,179.56,30.4
1705323600,5,11322.02,166.3,80.88,0,72.48,225.23,322.33,51.17
1705327200,5,14953.61,228.88,79.51,0,84.88,357.13,506.38,68.9
1705330800,5,16021.73,250.34,71.29,0,85.83,439.46,629.7,79.04
1705334400,5,14739.99,236.03,60.32,0,73.43,417.26,596.28,65.86
1705338000,5,11322.02,187.75,47.3,0,48.16,299.08,429.65,33.94
1705341600,5,6835.94,113.55,33.59,0,28.85,173.38,256.44,18.49
1705345200,4,2296.45,35.32,19.02,0,15.02,56.84,97.51,10.13
1705348800,3,1228.33,16.99,14.39,0,11.8,32.01,61.01,8.23
1705352400,3,1028.06,13.19,12.68,0.01,11.09,26.69,51,7.41
1705356000,2,974.66,12.74,11.82,0.02,11.32,23.75,44.78,6.9
1705359600,2,1028.06,13.3,12,0.03,12.16,20.86,40.01,7.09
1705363200,3,1735.69,25.48,14.05,0.39,17.4,29.75,53.55,10.51
1705366800,3,2937.32,48.28,18.34,0.64,25.99,42.3,72.62,14.31
1705370400,3,3070.83,51.41,20.91,1.14,28.13,43.21,76.8,16.47
1705374000,3,2349.85,34.87,24.33,2.44,25.03,36.57,69.69,16.97
1705377600,2,1241.68,8.94,22.96,6.35,13.47,16.96,33.07,9.5
1705381200,2,1054.76,3.97,22.62,8.05,11.68,13.15,25.54,8.11
1705384800,2,1041.41,2.88,24.33,8.94,12.64,12.4,24.59,7.85
1705388400,2,988.01,2.37,23.31,12.7,12.28,11.06,20,6.33
1705392000,2,988.01,1.98,23.31,14.48,10.85,10.19,16.99,5.51
1705395600,1,1054.76,2.96,22.96,13.41,9.78,9.13,15.2,5.19
1705399200,2,1495.36,9.5,28.45,5.1,13.35,12.29,20.92,6.9
1705402800,2,2162.93,25.03,28.79,0.3,19.07,19.99,35.15,10.64
1705406400,3,2269.74,29.5,25.36,0,20.03,26.78,48.26,14.06
1705410000,3,2563.48,33.53,22.96,0,21.93,37.81,68.15,18.24
1705413600,3,2536.77,33.53,21.25,0,21.93,45.52,84.28,20.01
1705417200,3,2349.85,29.95,19.19,0,20.5,47.47,91.39,19.51
1705420800,3,2243.04,29.06,17.65,0,18.84,43.94,87.44,16.72
1705424400,3,2002.72,27.05,17.14,0,16.69,36.03,74.44,12.03
1705428000,3,1655.58,21.68,16.45,0,14.42,31.84,65.61,9.88
1705431600,3,1335.14,15.42,15.94,0,12.52,30.19,60.26,8.74
1705435200,3,1174.93,12.18,15.42,0,11.32,30.66,57.48,7.92
1705438800,3,1134.87,10.95,15.42,0,10.97,32.05,56.33,7.09
1705442400,3,1134.87,11.29,15.42,0.01,11.68,31.33,53.79,6.59
1705446000,3,1228.33,13.52,15.77,0.01,13.35,29.37,50.53,7.03
1705449600,3,2029.42,28.61,17.48,0.59,19.31,39.06,65.37,11.15
1705453200,4,3231.05,51.86,22.28,0.46,27.66,50.29,81.41,14.69
1705456800,3,3311.16,54.99,24.33,0.4,30.52,49.83,82.71,16.47
1705460400,3,2536.77,42.02,25.7,0.6,30.28,43.51,74.91,16.47
1705464000,3,1615.52,24.14,26.39,1.27,27.18,30.74,48.55,9.5
1705467600,3,1789.09,27.94,31.19,2.03,31.47,36.38,52.52,8.87
1705471200,3,2109.53,32.63,36.67,2.17,33.86,40.89,57.26,8.49
1705474800,3,2269.74,31.29,41.47,2.01,32.42,42.87,59.92,8.49
1705478400,3,2082.82,24.36,43.18,2.15,28.37,37.99,53.17,8.11
1705482000,3,1869.2,16.32,43.53,2.08,22.89,30.5,42.64,7.66
1705485600,3,2563.48,25.7,48.67,1.1,25.03,35.91,50.37,10.26
